"group","no_vote","dem","rep","oth","obs","no_vote.1","dem.1","rep.1","oth.1","obs.1","no_vote.2","dem.2","rep.2","oth.2","obs.2","no_vote.3","dem.3","rep.3","oth.3","obs.3","no_vote.4","dem.4","rep.4","oth.4","obs.4","no_vote.5","dem.5","rep.5","oth.5","obs.5","no_vote.6","dem.6","rep.6","oth.6","obs.6","no_vote.7","dem.7","rep.7","oth.7","obs.7","no_vote.8","dem.8","rep.8","oth.8","obs.8"
"Straight",NA,0.478,0.493,0.028,5140,0.038,0.485,0.457,0.02,5965,0.018,0.549,0.413,0.02,5727,0.028,0.593,0.356,0.023,3735,0.015,0.464,0.499,0.021,3640,0.024,0.51,0.45,0.016,8583,NA,0.482,0.494,0.024,3251,0.022,0.498,0.458,0.022,4214,0.005,0.588,0.391,0.016,4155
"LGBT",NA,0.668,0.287,0.045,223,0.014,0.746,0.23,0.009,213,0.016,0.762,0.206,0.016,189,0.041,0.786,0.145,0.028,145,0.017,0.802,0.157,0.025,121,0.024,0.738,0.212,0.026,416,NA,0.776,0.21,0.014,143,0.019,0.785,0.164,0.033,214,NA,0.825,0.157,0.018,274
"Straight Men",NA,0.41,0.558,0.032,2373,0.032,0.44,0.504,0.024,2545,0.014,0.518,0.443,0.025,2580,0.021,0.576,0.379,0.025,1598,0.011,0.42,0.549,0.021,1702,0.025,0.462,0.494,0.019,3869,NA,0.424,0.548,0.028,1531,0.026,0.439,0.507,0.028,1912,0.005,0.537,0.437,0.021,1777
"LGBT Men",NA,0.608,0.333,0.058,120,0.01,0.75,0.23,0.01,100,0.009,0.759,0.222,0.009,108,NA,0.829,0.157,0.014,70,NA,0.774,0.208,0.019,53,0.031,0.767,0.176,0.026,193,NA,0.768,0.232,NA,69,NA,0.798,0.16,0.043,94,NA,0.737,0.246,0.018,114
"Straight Women",NA,0.535,0.439,0.026,2729,0.042,0.518,0.422,0.018,3404,0.021,0.574,0.39,0.014,3119,0.032,0.608,0.339,0.022,2128,0.019,0.502,0.456,0.022,1931,0.023,0.549,0.415,0.014,4703,NA,0.533,0.448,0.02,1716,0.019,0.545,0.418,0.018,2297,0.005,0.627,0.355,0.013,2372
"LGBT Women",NA,0.737,0.232,0.03,99,0.018,0.745,0.227,0.009,110,0.025,0.772,0.177,0.025,79,0.08,0.747,0.133,0.04,75,0.029,0.824,0.118,0.029,68,0.018,0.712,0.243,0.027,222,NA,0.784,0.189,0.027,74,0.033,0.775,0.167,0.025,120,NA,0.887,0.094,0.019,159
"Straight White",NA,0.409,0.559,0.032,4060,0.038,0.417,0.524,0.021,4666,0.018,0.484,0.478,0.021,4480,0.029,0.506,0.444,0.022,2644,0.016,0.388,0.577,0.019,2868,0.023,0.407,0.553,0.016,6192,NA,0.384,0.59,0.026,2377,0.024,0.394,0.559,0.023,2998,0.004,0.499,0.482,0.015,2882
"LGBT White",NA,0.669,0.293,0.038,157,0.012,0.764,0.211,0.012,161,0.022,0.724,0.231,0.022,134,0.06,0.738,0.179,0.024,84,0.022,0.787,0.169,0.022,89,0.026,0.693,0.263,0.018,274,NA,0.766,0.215,0.019,107,0.008,0.724,0.228,0.039,127,NA,0.832,0.149,0.019,161
"Straight POC",NA,0.752,0.232,0.015,1033,0.034,0.739,0.209,0.017,1222,0.016,0.793,0.175,0.016,1158,0.022,0.818,0.134,0.026,1046,0.012,0.762,0.199,0.026,722,0.025,0.785,0.175,0.015,2315,NA,0.763,0.219,0.018,837,0.017,0.764,0.199,0.02,1170,0.006,0.808,0.166,0.02,1209
"LGBT POC",NA,0.677,0.258,0.065,62,0.02,0.686,0.294,NA,51,NA,0.846,0.154,NA,52,0.017,0.85,0.1,0.033,60,NA,0.833,0.133,0.033,30,0.022,0.825,0.117,0.036,137,NA,0.806,0.194,NA,36,0.035,0.872,0.07,0.023,86,NA,0.821,0.161,0.018,112
"Straight White Men",NA,0.342,0.622,0.035,1892,0.031,0.386,0.56,0.023,2031,0.015,0.452,0.505,0.028,2065,0.017,0.496,0.465,0.022,1144,0.013,0.346,0.624,0.017,1347,0.025,0.365,0.593,0.017,2846,NA,0.33,0.638,0.032,1141,0.025,0.34,0.607,0.028,1380,0.006,0.453,0.521,0.021,1263
"LGBT White Men",NA,0.614,0.337,0.048,83,NA,0.753,0.234,0.013,77,0.012,0.744,0.232,0.012,82,NA,0.814,0.186,NA,43,NA,0.778,0.194,0.028,36,0.032,0.73,0.214,0.024,126,NA,0.784,0.216,NA,51,NA,0.776,0.19,0.034,58,NA,0.762,0.222,0.016,63
"Straight POC Men",NA,0.692,0.293,0.015,464,0.032,0.671,0.272,0.024,493,0.01,0.783,0.192,0.015,479,0.028,0.791,0.149,0.032,436,0.006,0.71,0.257,0.027,331,0.023,0.74,0.214,0.023,988,NA,0.718,0.266,0.016,372,0.029,0.711,0.235,0.025,515,0.002,0.763,0.212,0.023,485
"LGBT POC Men",NA,0.618,0.294,0.088,34,0.043,0.739,0.217,NA,23,NA,0.8,0.2,NA,25,NA,0.852,0.111,0.037,27,NA,0.733,0.267,NA,15,0.031,0.844,0.109,0.016,64,NA,0.722,0.278,NA,18,NA,0.833,0.111,0.056,36,NA,0.72,0.26,0.02,50
"Straight White Women",NA,0.467,0.504,0.029,2147,0.044,0.441,0.495,0.02,2625,0.02,0.512,0.454,0.014,2402,0.037,0.514,0.428,0.021,1499,0.019,0.425,0.535,0.021,1519,0.022,0.443,0.52,0.016,3341,NA,0.433,0.547,0.02,1235,0.024,0.44,0.518,0.019,1617,0.003,0.537,0.45,0.01,1616
"LGBT White Women",NA,0.74,0.233,0.027,73,0.024,0.768,0.195,0.012,82,0.039,0.706,0.216,0.039,51,0.122,0.659,0.171,0.049,41,0.038,0.792,0.151,0.019,53,0.02,0.662,0.304,0.014,148,NA,0.75,0.214,0.036,56,0.014,0.681,0.261,0.043,69,NA,0.876,0.103,0.021,97
"Straight POC Women",NA,0.8,0.183,0.016,556,0.036,0.785,0.167,0.012,724,0.021,0.798,0.166,0.015,668,0.018,0.84,0.12,0.021,606,0.018,0.807,0.149,0.026,388,0.026,0.818,0.147,0.009,1321,NA,0.8,0.181,0.019,465,0.008,0.807,0.17,0.015,652,0.008,0.839,0.134,0.018,722
"LGBT POC Women",NA,0.731,0.231,0.038,26,NA,0.667,0.333,NA,27,NA,0.885,0.115,NA,26,0.03,0.848,0.091,0.03,33,NA,0.933,NA,0.067,15,0.014,0.808,0.123,0.055,73,NA,0.889,0.111,NA,18,0.06,0.9,0.04,NA,50,NA,0.903,0.081,0.016,62
