"group","mean_LIB_col","mean_CON_col","mean_VOTEind_col","mean_IDind_col","mean_ind_col","obs","mean_LIB_col.1","mean_CON_col.1","mean_VOTEind_col.1","mean_IDind_col.1","mean_ind_col.1","obs.1","mean_LIB_col.2","mean_CON_col.2","mean_VOTEind_col.2","mean_IDind_col.2","mean_ind_col.2","obs.2","mean_LIB_col.3","mean_CON_col.3","mean_VOTEind_col.3","mean_IDind_col.3","mean_ind_col.3","obs.3","mean_LIB_col.4","mean_CON_col.4","mean_VOTEind_col.4","mean_IDind_col.4","mean_ind_col.4","obs.4","mean_LIB_col.5","mean_CON_col.5","mean_VOTEind_col.5","mean_IDind_col.5","mean_ind_col.5","obs.5","mean_LIB_col.6","mean_CON_col.6","mean_VOTEind_col.6","mean_IDind_col.6","mean_ind_col.6","obs.6","mean_LIB_col.7","mean_CON_col.7","mean_VOTEind_col.7","mean_IDind_col.7","mean_ind_col.7","obs.7","mean_LIB_col.8","mean_CON_col.8","mean_VOTEind_col.8","mean_IDind_col.8","mean_ind_col.8","obs.8"
"Straight",-0.378,0.417,0.033,0.046,0.039,4966,-0.399,0.401,-0.026,0.029,0.002,5771,-0.376,0.359,-0.13,0.04,-0.016,5568,-0.482,0.325,-0.236,-0.078,-0.157,3585,-0.346,0.428,0.046,0.099,0.081,3526,-0.414,0.393,-0.055,0.014,-0.021,8227,-0.36,0.406,0.015,0.062,0.046,3161,-0.409,0.397,-0.034,0.011,-0.012,4006,-0.416,0.333,-0.194,-0.029,-0.084,4022
"LGBT",-0.576,0.204,-0.447,-0.299,-0.373,216,-0.652,0.183,-0.58,-0.359,-0.47,205,-0.589,0.171,-0.546,-0.354,-0.418,185,-0.661,0.168,-0.6,-0.386,-0.493,140,-0.65,0.142,-0.642,-0.442,-0.508,120,-0.654,0.163,-0.55,-0.433,-0.491,404,-0.607,0.163,-0.554,-0.388,-0.444,139,-0.684,0.134,-0.591,-0.51,-0.55,204,-0.683,0.123,-0.669,-0.506,-0.56,263
"Straight Men",-0.314,0.476,0.175,0.149,0.162,2308,-0.35,0.438,0.065,0.112,0.088,2485,-0.334,0.39,-0.066,0.118,0.057,2526,-0.448,0.354,-0.174,-0.016,-0.095,1548,-0.302,0.468,0.135,0.181,0.166,1670,-0.365,0.431,0.037,0.094,0.066,3732,-0.307,0.443,0.125,0.142,0.136,1494,-0.353,0.442,0.079,0.099,0.089,1829,-0.365,0.368,-0.097,0.054,0.003,1736
"LGBT Men",-0.541,0.237,-0.359,-0.248,-0.303,117,-0.651,0.189,-0.541,-0.383,-0.462,98,-0.575,0.173,-0.528,-0.34,-0.403,106,-0.653,0.201,-0.545,-0.358,-0.451,67,-0.596,0.173,-0.558,-0.356,-0.423,52,-0.656,0.143,-0.603,-0.423,-0.513,189,-0.622,0.179,-0.522,-0.403,-0.443,67,-0.673,0.118,-0.588,-0.522,-0.555,91,-0.615,0.179,-0.482,-0.414,-0.436,110
"Straight Women",-0.433,0.367,-0.087,-0.044,-0.066,2620,-0.436,0.372,-0.094,-0.035,-0.064,3271,-0.411,0.334,-0.182,-0.024,-0.076,3016,-0.508,0.303,-0.284,-0.127,-0.205,2031,-0.385,0.392,-0.033,0.027,0.007,1852,-0.454,0.363,-0.131,-0.051,-0.091,4486,-0.406,0.373,-0.083,-0.008,-0.033,1663,-0.455,0.36,-0.128,-0.062,-0.095,2172,-0.456,0.304,-0.27,-0.093,-0.152,2280
"LGBT Women",-0.618,0.163,-0.542,-0.368,-0.455,95,-0.656,0.178,-0.62,-0.337,-0.478,104,-0.606,0.169,-0.584,-0.364,-0.437,77,-0.668,0.137,-0.651,-0.411,-0.531,73,-0.691,0.118,-0.706,-0.507,-0.574,68,-0.651,0.181,-0.5,-0.439,-0.47,214,-0.593,0.148,-0.583,-0.375,-0.444,72,-0.692,0.146,-0.593,-0.5,-0.546,113,-0.732,0.083,-0.803,-0.572,-0.649,152
"Straight White",-0.324,0.469,0.164,0.125,0.145,3950,-0.348,0.451,0.102,0.104,0.103,4530,-0.328,0.407,-0.001,0.119,0.079,4367,-0.412,0.395,-0.061,0.027,-0.017,2558,-0.292,0.483,0.192,0.19,0.191,2801,-0.333,0.472,0.152,0.127,0.14,5989,-0.294,0.475,0.206,0.168,0.181,2317,-0.329,0.475,0.166,0.126,0.146,2893,-0.351,0.398,-0.02,0.081,0.047,2808
"LGBT White",-0.573,0.2,-0.445,-0.302,-0.373,154,-0.654,0.17,-0.603,-0.365,-0.484,156,-0.567,0.188,-0.481,-0.328,-0.379,131,-0.664,0.167,-0.543,-0.451,-0.497,81,-0.629,0.148,-0.614,-0.415,-0.481,88,-0.625,0.193,-0.456,-0.41,-0.433,271,-0.606,0.165,-0.543,-0.39,-0.441,105,-0.646,0.167,-0.484,-0.476,-0.48,123,-0.69,0.11,-0.688,-0.525,-0.58,157
"Straight POC",-0.602,0.205,-0.508,-0.286,-0.397,969,-0.593,0.207,-0.512,-0.261,-0.387,1173,-0.555,0.181,-0.617,-0.252,-0.374,1117,-0.664,0.147,-0.69,-0.343,-0.517,988,-0.567,0.204,-0.546,-0.272,-0.363,683,-0.639,0.177,-0.626,-0.297,-0.462,2170,-0.552,0.204,-0.541,-0.252,-0.349,809,-0.626,0.188,-0.575,-0.302,-0.438,1075,-0.582,0.167,-0.635,-0.305,-0.415,1155
"LGBT POC",-0.591,0.211,-0.466,-0.293,-0.379,58,-0.651,0.224,-0.521,-0.333,-0.427,48,-0.635,0.128,-0.692,-0.413,-0.506,52,-0.659,0.168,-0.672,-0.31,-0.491,58,-0.7,0.133,-0.7,-0.5,-0.567,30,-0.713,0.104,-0.742,-0.477,-0.609,128,-0.608,0.157,-0.588,-0.382,-0.451,34,-0.741,0.084,-0.75,-0.562,-0.656,80,-0.679,0.137,-0.657,-0.486,-0.543,105
