"group","dem","rep","ind","oth","obs","dem.1","rep.1","ind.1","oth.1","obs.1","dem.2","rep.2","ind.2","oth.2","obs.2","dem.3","rep.3","ind.3","oth.3","obs.3","dem.4","rep.4","ind.4","oth.4","obs.4","dem.5","rep.5","ind.5","oth.5","obs.5","dem.6","rep.6","ind.6","oth.6","obs.6","dem.7","rep.7","ind.7","oth.7","obs.7","dem.8","rep.8","ind.8","oth.8","obs.8"
"Straight",0.377,0.351,0.225,0.047,5784,0.378,0.347,0.234,0.041,6085,0.386,0.338,0.236,0.04,5808,0.456,0.275,0.221,0.048,3902,0.365,0.361,0.231,0.044,3686,0.396,0.321,0.234,0.049,8884,0.37,0.355,0.22,0.055,3344,0.396,0.335,0.215,0.055,4343,0.397,0.293,0.243,0.067,4166
"LGBT",0.49,0.186,0.283,0.04,247,0.56,0.16,0.204,0.076,225,0.536,0.16,0.227,0.077,194,0.57,0.166,0.205,0.06,151,0.581,0.105,0.25,0.065,124,0.594,0.106,0.222,0.079,433,0.503,0.143,0.272,0.082,147,0.564,0.109,0.209,0.118,220,0.601,0.103,0.22,0.077,273
"Straight Men",0.3,0.403,0.246,0.052,2653,0.314,0.375,0.266,0.045,2601,0.322,0.358,0.275,0.044,2621,0.405,0.299,0.244,0.052,1662,0.309,0.385,0.259,0.048,1724,0.331,0.335,0.273,0.061,3987,0.303,0.37,0.265,0.062,1585,0.32,0.362,0.252,0.066,1945,0.321,0.317,0.286,0.076,1786
"LGBT Men",0.476,0.214,0.278,0.032,126,0.613,0.123,0.189,0.075,106,0.5,0.17,0.25,0.08,112,0.557,0.171,0.214,0.057,70,0.509,0.127,0.291,0.073,55,0.578,0.08,0.271,0.07,199,0.592,0.155,0.211,0.042,71,0.51,0.112,0.245,0.133,98,0.53,0.139,0.243,0.087,115
"Straight Women",0.441,0.308,0.208,0.044,3089,0.426,0.325,0.21,0.038,3467,0.438,0.323,0.203,0.036,3156,0.494,0.257,0.203,0.046,2231,0.413,0.34,0.207,0.04,1958,0.449,0.31,0.203,0.038,4886,0.43,0.342,0.179,0.048,1755,0.456,0.313,0.186,0.046,2391,0.455,0.273,0.211,0.062,2373
"LGBT Women",0.504,0.154,0.299,0.043,117,0.517,0.198,0.216,0.069,116,0.575,0.15,0.2,0.075,80,0.58,0.16,0.198,0.062,81,0.638,0.087,0.217,0.058,69,0.608,0.129,0.177,0.086,232,0.421,0.132,0.329,0.118,76,0.607,0.107,0.18,0.107,122,0.656,0.076,0.204,0.064,157
"Straight White",0.305,0.401,0.246,0.048,4566,0.318,0.4,0.243,0.039,4768,0.319,0.392,0.248,0.041,4549,0.366,0.342,0.247,0.045,2765,0.294,0.421,0.244,0.041,2909,0.298,0.397,0.256,0.049,6395,0.282,0.427,0.235,0.055,2451,0.305,0.413,0.231,0.051,3088,0.302,0.371,0.258,0.068,2892
"LGBT White",0.466,0.199,0.29,0.045,176,0.523,0.157,0.25,0.07,172,0.507,0.186,0.221,0.086,140,0.578,0.156,0.233,0.033,90,0.549,0.121,0.275,0.055,91,0.557,0.124,0.238,0.082,282,0.505,0.138,0.275,0.083,109,0.474,0.143,0.271,0.113,133,0.571,0.093,0.248,0.087,161
"Straight POC",0.659,0.148,0.146,0.047,1167,0.604,0.143,0.201,0.051,1241,0.637,0.143,0.186,0.034,1167,0.68,0.108,0.155,0.056,1089,0.647,0.125,0.173,0.056,730,0.657,0.124,0.175,0.044,2406,0.627,0.144,0.176,0.053,856,0.63,0.138,0.175,0.057,1210,0.634,0.105,0.198,0.063,1210
"LGBT POC",0.545,0.152,0.273,0.03,66,0.673,0.173,0.058,0.096,52,0.596,0.096,0.25,0.058,52,0.567,0.167,0.167,0.1,60,0.677,0.065,0.194,0.065,31,0.664,0.075,0.185,0.075,146,0.5,0.158,0.263,0.079,38,0.698,0.058,0.116,0.128,86,0.649,0.108,0.18,0.063,111
"Straight White Men",0.231,0.451,0.266,0.052,2112,0.266,0.426,0.268,0.041,2071,0.259,0.407,0.287,0.047,2103,0.319,0.373,0.263,0.045,1191,0.238,0.442,0.273,0.046,1364,0.243,0.404,0.292,0.061,2928,0.224,0.438,0.27,0.068,1184,0.239,0.44,0.258,0.063,1403,0.238,0.391,0.294,0.076,1271
"LGBT White Men",0.438,0.225,0.292,0.045,89,0.543,0.148,0.247,0.062,81,0.5,0.186,0.233,0.081,86,0.628,0.116,0.256,NA,43,0.459,0.162,0.324,0.054,37,0.55,0.078,0.287,0.085,129,0.615,0.135,0.212,0.038,52,0.41,0.131,0.311,0.148,61,0.453,0.156,0.297,0.094,64
"Straight POC Men",0.582,0.202,0.164,0.052,524,0.514,0.169,0.253,0.065,510,0.592,0.159,0.217,0.031,483,0.627,0.11,0.199,0.064,453,0.585,0.164,0.194,0.057,335,0.58,0.142,0.219,0.06,1024,0.558,0.152,0.246,0.045,382,0.538,0.158,0.234,0.07,526,0.547,0.128,0.255,0.07,486
"LGBT POC Men",0.588,0.176,0.235,NA,34,0.84,0.04,NA,0.12,25,0.48,0.12,0.32,0.08,25,0.444,0.259,0.148,0.148,27,0.625,0.062,0.25,0.062,16,0.642,0.09,0.224,0.045,67,0.526,0.211,0.211,0.053,19,0.676,0.081,0.135,0.108,37,0.64,0.1,0.18,0.08,50
"Straight White Women",0.369,0.359,0.228,0.044,2430,0.359,0.38,0.224,0.038,2686,0.371,0.379,0.215,0.035,2433,0.402,0.318,0.235,0.045,1573,0.342,0.403,0.219,0.036,1544,0.343,0.391,0.226,0.04,3462,0.336,0.417,0.203,0.044,1266,0.359,0.39,0.208,0.042,1684,0.352,0.355,0.231,0.062,1618
"LGBT White Women",0.5,0.163,0.291,0.047,86,0.517,0.169,0.247,0.067,89,0.509,0.189,0.208,0.094,53,0.532,0.191,0.213,0.064,47,0.611,0.093,0.241,0.056,54,0.566,0.164,0.191,0.079,152,0.404,0.14,0.333,0.123,57,0.528,0.153,0.236,0.083,72,0.656,0.052,0.219,0.073,96
"Straight POC Women",0.722,0.103,0.13,0.044,630,0.669,0.127,0.164,0.041,727,0.669,0.133,0.161,0.037,671,0.72,0.106,0.125,0.049,633,0.696,0.092,0.156,0.056,392,0.715,0.111,0.142,0.032,1377,0.684,0.137,0.12,0.059,474,0.7,0.122,0.131,0.047,679,0.692,0.089,0.161,0.058,721
"LGBT POC Women",0.5,0.133,0.333,0.033,30,0.5,0.308,0.115,0.077,26,0.692,0.077,0.192,0.038,26,0.667,0.091,0.182,0.061,33,0.733,0.067,0.133,0.067,15,0.684,0.063,0.152,0.101,79,0.474,0.105,0.316,0.105,19,0.714,0.041,0.102,0.143,49,0.656,0.115,0.18,0.049,61
